csv,version,i,rowCount,Time (sec),Query,errorBound,Query Result,Query Result Sum
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,table,0,1,420.286552068,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17 from data_table where CAST(column05 AS FLOAT) > CAST(-73.99 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.94 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.745 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.77 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=50882999, min=0.0000, max=621.9800, sum=696851883.5621, mean=13.6952, sumOfSquares=NaN}, 12=StatsDuckDB{count=50882999, min=0.0000, max=400.0000, sum=577650087.2219, mean=11.3525, sumOfSquares=NaN}}","{17=6.968518835620996E8, 12=5.77650087221878E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,table,1,1,3.226821378,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17 from data_table where CAST(column05 AS FLOAT) > CAST(-73.9965 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.9465 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.74825 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.77325 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=61050478, min=0.0000, max=621.9800, sum=831957259.1348, mean=13.6274, sumOfSquares=NaN}, 12=StatsDuckDB{count=61050478, min=0.0000, max=400.0000, sum=691785375.3120, mean=11.3314, sumOfSquares=NaN}}","{17=8.319572591348158E8, 12=6.917853753120356E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,table,2,1,2.831025184,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17 from data_table where CAST(column05 AS FLOAT) > CAST(-73.9895 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.93951 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.75175 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.776752 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=51024908, min=0.0000, max=621.9800, sum=688870760.3302, mean=13.5007, sumOfSquares=NaN}, 12=StatsDuckDB{count=51024908, min=0.0000, max=400.0000, sum=572406401.6216, mean=11.2182, sumOfSquares=NaN}}","{17=6.88870760330151E8, 12=5.724064016215575E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,table,3,1,2.621638504,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17 from data_table where CAST(column05 AS FLOAT) > CAST(-73.9895 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.93951 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.7495 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.7745 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=51311256, min=0.0000, max=621.9800, sum=697079049.0007, mean=13.5853, sumOfSquares=NaN}, 12=StatsDuckDB{count=51311256, min=0.0000, max=400.0000, sum=578739184.2317, mean=11.2790, sumOfSquares=NaN}}","{17=6.970790490006802E8, 12=5.787391842316954E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,table,4,1,2.308222994,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17 from data_table where CAST(column05 AS FLOAT) > CAST(-73.983505 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.93351 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.7525 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.7775 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=42232347, min=0.0000, max=621.9800, sum=562993094.5852, mean=13.3309, sumOfSquares=NaN}, 12=StatsDuckDB{count=42232347, min=0.0000, max=400.0000, sum=467825625.3112, mean=11.0774, sumOfSquares=NaN}}","{17=5.629930945851661E8, 12=4.67825625311171E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,table,5,1,2.188493858,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17 from data_table where CAST(column05 AS FLOAT) > CAST(-73.977005 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.92701 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.74925 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.77425 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=29559883, min=0.0000, max=621.9800, sum=391028701.1478, mean=13.2284, sumOfSquares=NaN}, 12=StatsDuckDB{count=29559883, min=0.0000, max=400.0000, sum=324792791.7508, mean=10.9876, sumOfSquares=NaN}}","{17=3.910287011478473E8, 12=3.2479279175080085E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,table,6,1,2.161398248,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17 from data_table where CAST(column05 AS FLOAT) > CAST(-73.981 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.95601 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.753624 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.766125 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=20866088, min=0.0000, max=621.9800, sum=280884670.0599, mean=13.4613, sumOfSquares=NaN}, 12=StatsDuckDB{count=20866088, min=0.0000, max=400.0000, sum=232730197.8107, mean=11.1535, sumOfSquares=NaN}}","{17=2.8088467005993617E8, 12=2.327301978107454E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,table,7,1,2.084390504,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17 from data_table where CAST(column05 AS FLOAT) > CAST(-73.983 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.970505 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.755814 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.762062 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=6552236, min=0.0000, max=621.9800, sum=93551004.3757, mean=14.2777, sumOfSquares=NaN}, 12=StatsDuckDB{count=6552236, min=0.0000, max=400.0000, sum=77010821.6103, mean=11.7534, sumOfSquares=NaN}}","{17=9.355100437565303E7, 12=7.701082161030722E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,table,8,1,2.794592826,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17 from data_table where CAST(column05 AS FLOAT) > CAST(-73.984 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.97775 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.756905 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.760033 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=1151695, min=0.0000, max=405.8300, sum=16287789.9740, mean=14.1425, sumOfSquares=NaN}, 12=StatsDuckDB{count=1151695, min=0.0000, max=350.0000, sum=13502933.7801, mean=11.7244, sumOfSquares=NaN}}","{17=1.6287789974008322E7, 12=1.3502933780051231E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,table,9,1,2.181011094,"select count(CAST(column12 AS FLOAT)) as count_column12, min(CAST(column12 AS FLOAT)) as min_column12, max(CAST(column12 AS FLOAT)) as max_column12, sum(CAST(column12 AS FLOAT)) as sum_column12, avg(CAST(column12 AS FLOAT)) as avg_column12, count(CAST(column17 AS FLOAT)) as count_column17, min(CAST(column17 AS FLOAT)) as min_column17, max(CAST(column17 AS FLOAT)) as max_column17, sum(CAST(column17 AS FLOAT)) as sum_column17, avg(CAST(column17 AS FLOAT)) as avg_column17 from data_table where CAST(column05 AS FLOAT) > CAST(-73.98325 AS FLOAT) AND CAST(column05 AS FLOAT) < CAST(-73.977005 AS FLOAT) AND CAST(column06 AS FLOAT) > CAST(40.75728 AS FLOAT) AND CAST(column06 AS FLOAT) < CAST(40.760406 AS FLOAT) AND (column12 >= 0.0 AND column12 <= 400.0 AND column04 <= 1000.0);",0,"{17=StatsDuckDB{count=1276398, min=0.0000, max=405.8300, sum=17555209.2683, mean=13.7537, sumOfSquares=NaN}, 12=StatsDuckDB{count=1276398, min=0.0000, max=350.0000, sum=14550872.0900, mean=11.3999, sumOfSquares=NaN}}","{17=1.7555209268330097E7, 12=1.4550872090046883E7}"
