csv,errorBound,initMode,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles With Stats,Fully Contained Tiles Without Stats,Sampling Tiles,Sampling Rate,Sampling Rounds,Expanded nodes,I/Os,Time (sec),Confidence Interval,Error Bound,run
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,0,"Query{op=null, rect=(-73.99..-73.94),(40.745..40.77), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,8969,10000,0,0,0,0,0.0,0,0,0,280.65973311,null,,1
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,1,"Query{op=P, rect=(-73.9965..-73.9465),(40.74825..40.77325), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,9209,10180,340,270,0,149,9.270116566539764E-4,1,0,1957,0.839796067,"{17=[8.308390930753622E8, 8.326536151406364E8], 3=[1.0334464264835022E8, 1.035898250399713E8], 4=[1.482652419405183E8, 1.4873521113027385E8], 12=[6.908278227500443E8, 6.922771176243486E8]}","{17=0.0010907905134253401, 3=0.0011848310934376063, 4=0.0015823854303802646, 12=0.0010478560462028172}",1
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,2,"Query{op=P, rect=(-73.9895..-73.93951),(40.75175..40.776752), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,9461,10369,344,270,8,172,5.245400725524925E-4,1,0,2002,0.585369041,"{17=[6.870393641851437E8, 6.902274021716406E8], 3=[8.605645385528757E7, 8.647451164729594E7], 4=[1.2254175056798813E8, 1.234137912692633E8], 12=[5.708938248037686E8, 5.735195425875821E8]}","{17=0.00231475707130441, 3=0.0024230884629351367, 4=0.003545521661195983, 12=0.002294378813311755}",1
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,3,"Query{op=P, rect=(-73.9895..-73.93951),(40.7495..40.7745), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,10069,10825,437,252,255,573,2.988628047307749E-4,1,0,2507,0.727159325,"{17=[6.944158330049012E8, 6.997516188593531E8], 3=[8.662234302330565E7, 8.734213654088086E7], 4=[1.2369340389339532E8, 1.2508337674847774E8], 12=[5.762757477923514E8, 5.806460234915606E8]}","{17=0.003827220214700166, 3=0.004137589003102366, 4=0.005587229047245208, 12=0.0037775032052160553}",1
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,4,"Query{op=P, rect=(-73.983505..-73.93351),(40.7525..40.7775), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,10513,11158,386,252,149,372,2.9113517495511304E-4,1,0,2293,0.878635724,"{17=[5.579485802732457E8, 5.633232408261935E8], 3=[7.08466276821575E7, 7.158484803122611E7], 4=[9.83355970905916E7, 9.982472231338315E7], 12=[4.634695196588675E8, 4.67865096037714E8]}","{17=0.0047933609422894, 3=0.005182986031501496, 4=0.0075147498110143, 12=0.004719653178099584}",1
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,5,"Query{op=P, rect=(-73.977005..-73.92701),(40.74925..40.77425), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11213,11683,481,252,376,675,8.809407799527657E-4,1,0,2673,0.511049579,"{17=[3.896214858567144E8, 3.912621571943099E8], 3=[4.948742373587479E7, 4.9732718976211235E7], 4=[6.898257317586659E7, 6.944067337995888E7], 12=[3.2366859859143275E8, 3.2502746105304044E8]}","{17=0.002101044569438188, 3=0.002472232287029038, 4=0.0033094167019666327, 12=0.002094759851558892}",1
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,6,"Query{op=ZI, rect=(-73.981..-73.95601),(40.753624..40.766125), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11361,11794,86,48,16,145,3.844680815379881E-4,1,0,1933,0.605588495,"{17=[2.7779271719461006E8, 2.821036657142274E8], 3=[3.4787619239137456E7, 3.5340486096258774E7], 4=[4.882305355989845E7, 4.999458560824509E7], 12=[2.302353907596587E8, 2.3377869737426293E8]}","{17=0.007699547007645573, 3=0.007883670241441222, 4=0.011855495215314886, 12=0.007636204816224419}",1
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,7,"Query{op=ZI, rect=(-73.983..-73.970505),(40.755814..40.762062), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11481,11884,42,12,16,85,7.106969308521086E-4,1,0,1867,0.551929495,"{17=[9.378630577352548E7, 9.68587063366476E7], 3=[1.1066848932702515E7, 1.1385442869359221E7], 4=[1.6533705555435611E7, 1.7321135448306035E7], 12=[7.71584451646312E7, 7.95844994658535E7]}","{17=0.016115819286929962, 3=0.01418981810255336, 4=0.02325900431147786, 12=0.01547791708865507}",1
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,8,"Query{op=ZI, rect=(-73.984..-73.97775),(40.756905..40.760033), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11625,11992,36,0,72,128,0.011585061589863306,2,0,13406,0.297332604,"{17=[1.5795699220704125E7, 1.6205222341133138E7], 3=[1966488.2398170554, 2019410.7330735717], 4=[2747743.9463486257, 2856813.317920145], 12=[1.3118595789864784E7, 1.3448675562099388E7]}","{17=0.012797228968474152, 3=0.013277429663034383, 4=0.019460836320984533, 12=0.012424300857310297}",1
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,9,"Query{op=P, rect=(-73.98325..-73.977005),(40.75728..40.760406), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,12033,12298,103,1,260,372,0.002002935550547302,1,0,2084,0.163233713,"{17=[1.6962288117639303E7, 1.7720262055856407E7], 3=[2121615.887968243, 2229253.7394617377], 4=[2900263.5706542125, 3109514.191435812], 12=[1.4113638326272305E7, 1.4760204634405788E7]}","{17=0.021854619525537217, 3=0.02473938791796786, 4=0.03481836251942007, 12=0.02239280406885951}",1
