csv,errorBound,initMode,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles,Expanded nodes,I/Os,Time (sec),Query Result,Query Result Sum
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,0,"Query{op=null, rect=(-73.99..-73.94),(40.745..40.77), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,8969,10000,0,0,0,0,301.360199348,{},
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,1,"Query{op=P, rect=(-73.9965..-73.9465),(40.74825..40.77325), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,9209,10180,340,270,0,1969239,4.923772789,"{null={17=Stats{count=61050478, mean=13.62736683461922, populationStandardDeviation=10.503324351325396, min=0.0, max=621.97998046875}, 3=Stats{count=61050478, mean=1.6945549222400622, populationStandardDeviation=1.3563584162546523, min=0.0, max=9.0}, 4=Stats{count=61050478, mean=2.4330712396785903, populationStandardDeviation=2.8051429432377444, min=0.0, max=504.29998779296875}, 12=Stats{count=61050478, mean=11.331367058451994, populationStandardDeviation=8.600572341570741, min=0.0, max=400.0}}}","{17=8.319572591348504E8, 3=1.0345338800000863E8, 4=1.485401621904305E8, 12=6.917853753119482E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,2,"Query{op=P, rect=(-73.9895..-73.93951),(40.75175..40.776752), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,9461,10369,344,272,0,3480206,6.705717439,"{null={17=Stats{count=51024908, mean=13.500676186033385, populationStandardDeviation=10.281608371719457, min=0.0, max=621.97998046875}, 3=Stats{count=51024908, mean=1.6941385176040404, populationStandardDeviation=1.3573951750877093, min=0.0, max=9.0}, 4=Stats{count=51024908, mean=2.4110762065709492, populationStandardDeviation=2.770891802274189, min=0.0, max=500.0}, 12=Stats{count=51024908, mean=11.21817606455164, populationStandardDeviation=8.419285164715724, min=0.0, max=400.0}}}","{17=6.888707603301443E8, 3=8.644326200000255E7, 4=1.2302494162127168E8, 12=5.724064016215495E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,3,"Query{op=P, rect=(-73.9895..-73.93951),(40.7495..40.7745), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,10049,10810,437,321,0,6073268,12.801377229,"{null={17=Stats{count=51311256, mean=13.5853047331497, populationStandardDeviation=10.461639034604197, min=0.0, max=621.97998046875}, 3=Stats{count=51311256, mean=1.6956098482562147, populationStandardDeviation=1.3578219431929854, min=0.0, max=9.0}, 4=Stats{count=51311256, mean=2.4278697937545894, populationStandardDeviation=2.810474907910896, min=0.0, max=500.0}, 12=Stats{count=51311256, mean=11.278990797490694, populationStandardDeviation=8.549662196907965, min=0.0, max=400.0}}}","{17=6.970790490006559E8, 3=8.700387099999578E7, 4=1.2457704852200894E8, 12=5.787391842316892E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,4,"Query{op=P, rect=(-73.983505..-73.93351),(40.7525..40.7775), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,10477,11131,386,296,0,6164407,12.459566607,"{null={17=Stats{count=42232347, mean=13.330850274203467, populationStandardDeviation=9.97622828567225, min=0.0, max=621.97998046875}, 3=Stats{count=42232347, mean=1.6880328010184342, populationStandardDeviation=1.3570675320603742, min=0.0, max=9.0}, 4=Stats{count=42232347, mean=2.3615506664487005, populationStandardDeviation=2.689471759997865, min=0.0, max=500.0}, 12=Stats{count=42232347, mean=11.077424262288288, populationStandardDeviation=8.17580398341171, min=0.0, max=400.0}}}","{17=5.629930945852059E8, 3=7.128958699999247E7, 4=9.973382720354278E7, 12=4.6782562531117797E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,5,"Query{op=P, rect=(-73.977005..-73.92701),(40.74925..40.77425), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,10913,11458,481,364,0,1179627,2.653557004,"{null={17=Stats{count=29559883, mean=13.228357539434642, populationStandardDeviation=9.774848536318302, min=0.0, max=621.97998046875}, 3=Stats{count=29559883, mean=1.678163069860465, populationStandardDeviation=1.35599488022755, min=0.0, max=9.0}, 4=Stats{count=29559883, mean=2.3467590307678052, populationStandardDeviation=2.6363172439741356, min=0.0, max=500.0}, 12=Stats{count=29559883, mean=10.987621018352094, populationStandardDeviation=8.026037649031386, min=0.0, max=400.0}}}","{17=3.910287011478559E8, 3=4.960630399999617E7, 4=6.936992237868972E7, 12=3.2479279175082874E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,6,"Query{op=ZI, rect=(-73.981..-73.95601),(40.753624..40.766125), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11061,11569,86,52,0,4748138,9.117117462,"{null={17=Stats{count=20866088, mean=13.461299983970342, populationStandardDeviation=10.353458539756486, min=0.0, max=621.97998046875}, 3=Stats{count=20866088, mean=1.6917683372178047, populationStandardDeviation=1.358547764246678, min=0.0, max=9.0}, 4=Stats{count=20866088, mean=2.379145597952736, populationStandardDeviation=2.775859595230882, min=0.0, max=500.0}, 12=Stats{count=20866088, mean=11.153513673035054, populationStandardDeviation=8.451883815161505, min=0.0, max=400.0}}}","{17=2.8088467005992377E8, 3=3.530058700000039E7, 4=4.964346141169441E7, 12=2.3273019781075266E8}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,7,"Query{op=ZI, rect=(-73.983..-73.970505),(40.755814..40.762062), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11181,11659,42,16,0,2568616,5.298858541,"{null={17=Stats{count=6552236, mean=14.277722044147414, populationStandardDeviation=11.441693433503321, min=0.0, max=621.97998046875}, 3=Stats{count=6552236, mean=1.7132661277770405, populationStandardDeviation=1.371422165113095, min=0.0, max=9.0}, 4=Stats{count=6552236, mean=2.5264457915922423, populationStandardDeviation=3.0229665290387193, min=0.0, max=240.8000030517578}, 12=Stats{count=6552236, mean=11.753365051305815, populationStandardDeviation=9.186760811016438, min=0.0, max=400.0}}}","{17=9.355100437565628E7, 3=1.1225724000001324E7, 4=1.6553869067719188E7, 12=7.701082161030781E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,8,"Query{op=ZI, rect=(-73.984..-73.97775),(40.756905..40.760033), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11325,11767,36,18,0,1151695,2.282516289,"{null={17=Stats{count=1151695, mean=14.142450886743347, populationStandardDeviation=11.239440199692535, min=0.0, max=405.8299865722656}, 3=Stats{count=1151695, mean=1.7482258757743923, populationStandardDeviation=1.3836585769737224, min=0.0, max=9.0}, 4=Stats{count=1151695, mean=2.499958591281973, populationStandardDeviation=2.9836651075197183, min=0.0, max=93.5999984741211}, 12=Stats{count=1151695, mean=11.724400800604014, populationStandardDeviation=9.09828797626723, min=0.0, max=350.0}}}","{17=1.628778997400788E7, 3=2013422.9999999886, 4=2879189.809786492, 12=1.3502933780051641E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,9,"Query{op=P, rect=(-73.98325..-73.977005),(40.75728..40.760406), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11537,11926,103,66,0,591486,1.327223488,"{null={17=Stats{count=1276398, mean=13.75371104336624, populationStandardDeviation=10.510810051990626, min=0.0, max=405.8299865722656}, 3=Stats{count=1276398, mean=1.7382618901001212, populationStandardDeviation=1.3756579559205533, min=0.0, max=9.0}, 4=Stats{count=1276398, mean=2.3801979945455782, populationStandardDeviation=2.7658446300109683, min=0.0, max=93.5999984741211}, 12=Stats{count=1276398, mean=11.39994898930075, populationStandardDeviation=8.497382703595441, min=0.0, max=350.0}}}","{17=1.755520926833058E7, 3=2218714.0000000144, 4=3038079.959841987, 12=1.4550872090045499E7}"
