csv,errorBound,initMode,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles With Stats,Fully Contained Tiles Without Stats,Sampling Tiles,Sampling Rate,Sampling Rounds,Expanded nodes,I/Os,Time (sec),Confidence Interval,Error Bound,run
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,0,"Query{op=null, rect=(-73.99..-73.94),(40.745..40.77), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,8969,10000,0,0,0,0,0.0,0,0,0,283.501234461,null,,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,1,"Query{op=P, rect=(-73.9965..-73.9465),(40.74825..40.77325), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,10225,10942,340,0,1032,1181,2.9901608759518964E-5,1,0,3153,3.722180099,"{17=[8.027371512440325E8, 8.507690060696758E8], 3=[1.0094852113887766E8, 1.078764346571902E8], 4=[1.400827750722969E8, 1.5254581018354002E8], 12=[6.647364977650849E8, 7.035304602389547E8]}","{17=0.02904848863924161, 3=0.033175697281497975, 4=0.04258994417905909, 12=0.028352626837134562}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,2,"Query{op=P, rect=(-73.9895..-73.93951),(40.75175..40.776752), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,13685,13537,1020,0,3274,3510,3.577679175311046E-5,1,0,7191,3.592579442,"{17=[6.831391812337657E8, 7.186150593529984E8], 3=[8.422397555245237E7, 8.906739708088095E7], 4=[1.212372068998436E8, 1.3109767730127269E8], 12=[5.673459748471355E8, 5.96631905119523E8]}","{17=0.025308201032716485, 3=0.027949582571988537, 4=0.0390769212613904, 12=0.025160212042196525}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,3,"Query{op=P, rect=(-73.9895..-73.93951),(40.7495..40.7745), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,25581,22459,3514,0,11814,12194,3.557713550682953E-5,1,0,24393,4.817849616,"{17=[6.94880520201125E8, 7.189771985978602E8], 3=[8.479843374520014E7, 8.767139158813317E7], 4=[1.2400683287837979E8, 1.3044024035571826E8], 12=[5.769334357949092E8, 5.967644046707523E8]}","{17=0.017043213101530712, 3=0.016657741940542054, 4=0.025283872970390028, 12=0.01689614498053022}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,4,"Query{op=P, rect=(-73.983505..-73.93351),(40.7525..40.7775), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,57502,46402,9829,0,32900,33367,4.322533880813254E-5,1,0,66739,4.265539327,"{17=[5.559484766019732E8, 5.672148305660871E8], 3=[7.099299956648381E7, 7.280737693351619E7], 4=[9.801235596011958E7, 1.0103829027946308E8], 12=[4.610260927738432E8, 4.702563850663398E8]}","{17=0.010030913485342477, 3=0.012617333912421147, 4=0.015201831174672059, 12=0.009911377602532932}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,5,"Query{op=P, rect=(-73.977005..-73.92701),(40.74925..40.77425), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,124403,96580,25225,0,74307,75222,6.175624943230052E-5,1,0,150431,4.081233998,"{17=[3.884786289662196E8, 3.9390636484428674E8], 3=[4.9289989525901616E7, 5.0045803974098384E7], 4=[6.847353187752832E7, 6.994269732835858E7], 12=[3.228905964254846E8, 3.273644561659098E8]}","{17=0.006937423290331836, 3=0.007608681841322068, 4=0.01061411266048105, 12=0.006880161442184904}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,6,"Query{op=ZI, rect=(-73.981..-73.95601),(40.753624..40.766125), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,232719,177817,47186,0,127009,128089,8.748681150667148E-5,1,0,256176,4.231248495,"{17=[2.7856749751014715E8, 2.807863419727215E8], 3=[3.515621130579844E7, 3.545261269420156E7], 4=[4.903420076065843E7, 4.962777770913795E7], 12=[2.3090039904877323E8, 2.3270804346391445E8]}","{17=0.0039667993780568645, 3=0.004197795284101002, 4=0.006016268451997761, 12=0.0038990757056624453}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,7,"Query{op=ZI, rect=(-73.983..-73.970505),(40.755814..40.762062), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,264139,201382,38388,0,60588,61579,2.786083266441593E-4,1,0,122664,1.155794765,"{17=[9.301165936578044E7, 9.407494378040567E7], 3=[1.1169069622863771E7, 1.1298173377136229E7], 4=[1.6408012307994682E7, 1.6696278509775713E7], 12=[7.661457479351637E7, 7.74768244171808E7]}","{17=0.005683380834032227, 3=0.0057463104962392235, 4=0.008707819882560038, 12=0.0055957024732148745}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,8,"Query{op=ZI, rect=(-73.984..-73.97775),(40.756905..40.760033), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,269299,205252,6832,0,10238,10626,0.0015850615898633056,1,0,21245,0.174137488,"{17=[1.6209294585349463E7, 1.6632009297160245E7], 3=[1993072.1854800247, 2044986.9811866418], 4=[2857671.1475893953, 2969235.6644234187], 12=[1.3435951376400067E7, 1.3780780566804176E7]}","{17=0.012871435108759726, 3=0.012856373213934793, 4=0.019146439171469295, 12=0.012669750031844297}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,9,"Query{op=P, rect=(-73.98325..-73.977005),(40.75728..40.760406), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,272383,207565,11594,0,13439,13877,0.001430202419415903,1,0,27662,0.170379307,"{17=[1.7204367418102793E7, 1.754026234354777E7], 3=[2182203.3981004287, 2227194.6018995713], 4=[2962548.9147954127, 3052363.8044946874], 12=[1.4274904908341259E7, 1.4547869991927296E7]}","{17=0.009667535033449113, 3=0.010203479885268353, 4=0.014932035407801383, 12=0.009470465093334709}",2
