csv,errorBound,initMode,initCatBudget (Gb),initCatBudget (nodes),binCount,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles,Expanded nodes,I/Os,Time (sec),Query Result,Query Result Sum
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,0,"Query{rect=(544.0..574.0),(323.0..353.0), categoricalFilters=null, groupByCols=null, measureCol=9}",0.0,11263,11263,0,0,0,0,413.143867164,{},
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,1,"Query{rect=(541.0..571.0),(326.0..356.0), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,11439,11395,240,196,0,11599,0.559085349,"{null=Stats{count=90282, mean=500.3566982324948, populationStandardDeviation=288.93793548346446, min=0.011508000083267689, max=999.9924926757812}}",4.5173203429826096E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,2,"Query{rect=(545.8..575.8),(330.8..360.8), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,11663,11563,292,234,0,16214,0.497039986,"{null=Stats{count=89834, mean=500.90969196676315, populationStandardDeviation=288.465032100961, min=0.013408999890089035, max=999.9879760742188}}",4.49987212681422E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,3,"Query{rect=(545.8..575.8),(325.4..355.4), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,11791,11659,429,340,0,22314,0.593764167,"{null=Stats{count=89909, mean=500.5038000324304, populationStandardDeviation=288.71497801508144, min=0.011508000083267689, max=999.9943237304688}}",4.499979615711578E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,4,"Query{rect=(541.3..571.3),(325.4..355.4), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,11803,11668,486,368,0,14606,0.40377798,"{null=Stats{count=90169, mean=500.1453379072787, populationStandardDeviation=288.71976662881264, min=0.011508000083267689, max=999.9943237304688}}",4.509760497376141E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,5,"Query{rect=(546.1..576.1),(320.6..350.6), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12023,11833,450,385,0,19459,0.512157152,"{null=Stats{count=90033, mean=499.58722315987364, populationStandardDeviation=288.88093508548326, min=0.004091999959200621, max=999.9943237304688}}",4.49793364627529E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,6,"Query{rect=(549.69995..579.69995),(320.6..350.6), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12131,11914,532,440,0,17314,0.466467948,"{null=Stats{count=90129, mean=499.8560951451725, populationStandardDeviation=288.9961285790539, min=0.004091999959200621, max=999.9861450195312}}",4.505152999933925E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,7,"Query{rect=(553.2999..583.2999),(324.2..354.2), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12243,11998,544,459,0,17513,0.469142196,"{null=Stats{count=90094, mean=500.61958167598294, populationStandardDeviation=289.0511771050378, min=0.013408999890089035, max=999.9879760742188}}",4.510282059151601E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,8,"Query{rect=(548.49994..578.49994),(324.2..354.2), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12251,12004,621,503,0,13402,0.362388539,"{null=Stats{count=89969, mean=500.29136729774814, populationStandardDeviation=288.95206230336174, min=0.004091999959200621, max=999.9879760742188}}",4.5010714024411105E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,9,"Query{rect=(548.49994..578.49994),(327.80002..357.80002), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12315,12052,584,481,0,12059,0.326184922,"{null=Stats{count=89970, mean=501.03172629590114, populationStandardDeviation=288.6686054947088, min=0.013408999890089035, max=999.9879760742188}}",4.5077824414842226E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,10,"Query{rect=(548.49994..578.49994),(324.80002..354.80002), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12315,12052,628,508,0,6303,0.201621831,"{null=Stats{count=90019, mean=500.3200074010717, populationStandardDeviation=288.903172165987, min=0.011508000083267689, max=999.9879760742188}}",4.503830674623707E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,11,"Query{rect=(544.89996..574.89996),(321.2..351.2), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12327,12061,620,503,0,13447,0.388425015,"{null=Stats{count=90026, mean=500.20009428995706, populationStandardDeviation=288.88330503418985, min=0.004091999959200621, max=999.9943237304688}}",4.503101368854768E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,12,"Query{rect=(548.49994..578.49994),(317.6..347.6), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12427,12136,587,497,0,13121,0.375358443,"{null=Stats{count=90135, mean=500.2257716868273, populationStandardDeviation=288.9603826450751, min=0.004091999959200621, max=999.9861450195312}}",4.508784993099218E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,13,"Query{rect=(544.89996..574.89996),(321.2..351.2), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12427,12136,655,535,0,10208,0.294591812,"{null=Stats{count=90026, mean=500.20009428995724, populationStandardDeviation=288.88330503419, min=0.004091999959200621, max=999.9943237304688}}",4.503101368854769E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,14,"Query{rect=(540.39996..570.39996),(316.7..346.7), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12467,12166,614,507,0,13856,0.395714379,"{null=Stats{count=90389, mean=499.27692080787534, populationStandardDeviation=289.5378527596972, min=0.004091999959200621, max=999.9943237304688}}",4.5129141594903044E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,15,"Query{rect=(536.8..566.8),(316.7..346.7), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12571,12244,584,497,0,12423,0.357726696,"{null=Stats{count=90210, mean=499.06636639328565, populationStandardDeviation=289.75892749236584, min=0.004091999959200621, max=999.9943237304688}}",4.50207769123383E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,16,"Query{rect=(533.5..563.5),(320.0..350.0), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12703,12343,584,508,0,22948,0.618439632,"{null=Stats{count=90263, mean=499.22448484205034, populationStandardDeviation=289.62325799549757, min=0.004091999959200621, max=999.9943237304688}}",4.506149967529799E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,17,"Query{rect=(533.5..563.5),(315.2..345.2), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12767,12391,642,547,0,16648,0.446526617,"{null=Stats{count=90308, mean=498.9337801692197, populationStandardDeviation=289.74303830806184, min=0.004091999959200621, max=999.9943237304688}}",4.505771181952189E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,18,"Query{rect=(538.0..568.0),(315.2..345.2), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12823,12433,665,596,0,16186,0.470106658,"{null=Stats{count=90212, mean=498.7510981815292, populationStandardDeviation=289.7085724997184, min=0.004091999959200621, max=999.9943237304688}}",4.499333406915211E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,19,"Query{rect=(538.0..568.0),(320.90002..350.90002), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12831,12439,740,657,0,13139,0.378552614,"{null=Stats{count=90203, mean=499.3190678219092, populationStandardDeviation=289.68078497843317, min=0.004091999959200621, max=999.9943237304688}}",4.504007787473968E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,20,"Query{rect=(544.0..574.0),(326.90002..356.90002), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12835,12442,710,622,0,6852,0.208626782,"{null=Stats{count=89905, mean=501.61711911592084, populationStandardDeviation=288.87707034430497, min=0.013408999890089035, max=999.9879760742188}}",4.509788709411687E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,21,"Query{rect=(544.0..574.0),(332.90002..362.90002), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12923,12508,665,600,0,19303,0.542430737,"{null=Stats{count=89956, mean=501.31946948174914, populationStandardDeviation=288.538082260358, min=0.013408999890089035, max=999.9879760742188}}",4.509669419670022E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,22,"Query{rect=(544.0..574.0),(338.00003..368.00003), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,13015,12577,621,555,0,16667,0.469988493,"{null=Stats{count=90001, mean=501.04656751948994, populationStandardDeviation=288.5706038602237, min=0.002202000003308058, max=999.9879760742188}}",4.5094692123321615E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,23,"Query{rect=(538.9..568.9),(343.10004..373.10004), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,13147,12676,586,517,0,23204,0.624707292,"{null=Stats{count=89791, mean=500.1891481901141, populationStandardDeviation=288.38075624055807, min=0.002202000003308058, max=999.9913940429688}}",4.4912483805138536E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,24,"Query{rect=(538.9..568.9),(348.80005..378.80005), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,13267,12766,518,435,0,19105,0.506744667,"{null=Stats{count=89959, mean=501.3223137968167, populationStandardDeviation=288.58961253525246, min=0.002202000003308058, max=999.9913940429688}}",4.509845402684783E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,25,"Query{rect=(544.9..574.9),(354.80005..384.80005), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,13363,12838,467,388,0,20414,0.579000633,"{null=Stats{count=90396, mean=501.844037377253, populationStandardDeviation=288.34032313140585, min=0.002202000003308058, max=999.9889526367188}}",4.536469360275416E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,26,"Query{rect=(544.9..574.9),(359.00006..389.00006), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,13671,13069,406,338,0,24539,0.687094794,"{null=Stats{count=90350, mean=501.66656617309644, populationStandardDeviation=288.68256164347684, min=0.002202000003308058, max=999.9889526367188}}",4.532557425373926E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,27,"Query{rect=(544.9..574.9),(355.70007..385.70007), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,13671,13069,646,518,0,12442,0.354965453,"{null=Stats{count=90448, mean=501.5284758496112, populationStandardDeviation=288.40329692259047, min=0.002202000003308058, max=999.9889526367188}}",4.5362247583645634E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,28,"Query{rect=(540.10004..570.10004),(360.50006..390.50006), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,13903,13243,551,491,0,22872,0.635951364,"{null=Stats{count=90260, mean=500.77830443775343, populationStandardDeviation=288.7594081579954, min=0.002202000003308058, max=999.9889526367188}}",4.520024975855163E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,29,"Query{rect=(536.2..566.2),(360.50006..390.50006), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,14107,13396,639,574,0,25467,0.684715997,"{null=Stats{count=90204, mean=500.3676761916506, populationStandardDeviation=288.622288365792, min=0.002202000003308058, max=999.9889526367188}}",4.513516586319165E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,30,"Query{rect=(540.4..570.4),(364.70007..394.70007), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,14215,13477,727,638,0,20399,0.576497791,"{null=Stats{count=90263, mean=500.59176547449266, populationStandardDeviation=288.7260491889277, min=0.002202000003308058, max=999.9889526367188}}",4.518491452702413E7
