csv,errorBound,initMode,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles With Stats,Fully Contained Tiles Without Stats,Sampling Tiles,Sampling Rate,Expanded nodes,I/Os,Time (sec),Confidence Interval LB,Confidence Interval UB,Error Bound,run
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.1,valinor,0,"Query{rect=(544.0..574.0),(323.0..353.0), categoricalFilters=null, groupByCols=[], measureCol=9}",0.0,11263,11263,0,0,0,0,0.0,0,0,399.94715186,,,0.0,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.1,valinor,1,"Query{rect=(541.0..571.0),(326.0..356.0), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,11439,11395,240,196,0,116,0.01,0,232,0.086290492,4.468359068661529E7,4.558011619690269E7,0.009932292182995957,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.1,valinor,2,"Query{rect=(545.8..575.8),(330.8..360.8), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,11663,11563,292,184,50,219,0.01,0,438,0.038433359,4.4041460001213275E7,4.497193744792471E7,0.010453229214659604,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.1,valinor,3,"Query{rect=(545.8..575.8),(325.4..355.4), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,11791,11659,429,157,183,333,0.01,0,570,0.030307946,4.424324372546785E7,4.5542453474630155E7,0.014470119291571121,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.1,valinor,4,"Query{rect=(541.3..571.3),(325.4..355.4), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,11803,11668,486,157,211,333,0.01,0,416,0.022678435,4.4313879707862996E7,4.555830323219202E7,0.013846592834615527,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.1,valinor,5,"Query{rect=(546.1..576.1),(320.6..350.6), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,12023,11833,450,135,250,421,0.01,0,514,0.026322628,4.38842321069205E7,4.53583985372395E7,0.016518634868541552,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.1,valinor,6,"Query{rect=(549.69995..579.69995),(320.6..350.6), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,12131,11914,532,124,316,465,0.01,0,466,0.024871656,4.334882166634448E7,4.488739298303051E7,0.017436959674662703,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.1,valinor,7,"Query{rect=(553.2999..583.2999),(324.2..354.2), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,12243,11998,544,113,346,460,0.01,0,424,0.022845575,4.387452091938122E7,4.548386456305573E7,0.018009990164726264,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.1,valinor,8,"Query{rect=(548.49994..578.49994),(324.2..354.2), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,12251,12004,621,112,391,513,0.01,0,392,0.018003253,4.412019603944156E7,4.576955222650241E7,0.01834865731497137,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.1,valinor,9,"Query{rect=(548.49994..578.49994),(327.80002..357.80002), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,12315,12052,584,111,370,517,0.01,0,366,0.01783709,4.456107892541695E7,4.620245330547699E7,0.01808407341270659,3
