csv,errorBound,initMode,initCatBudget (Gb),initCatBudget (nodes),binCount,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles,Expanded nodes,I/Os,Time (sec),Query Result,Query Result Sum
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,0,"Query{rect=(544.0..574.0),(323.0..353.0), categoricalFilters=null, groupByCols=null, measureCol=9}",0.0,11263,11263,0,0,0,0,157.311545386,{},
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,1,"Query{rect=(541.0..571.0),(326.0..356.0), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,11439,11395,240,196,0,11777,0.386209012,"{null=Stats{count=90101, mean=498.81913623791365, populationStandardDeviation=289.38739519070805, min=0.0018579999450594187, max=999.9998168945312}}",4.494410299417226E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,2,"Query{rect=(545.8..575.8),(330.8..360.8), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,11663,11563,292,234,0,16381,0.356619423,"{null=Stats{count=89840, mean=500.8361293246195, populationStandardDeviation=289.2516492683271, min=0.0018579999450594187, max=999.9998168945312}}",4.4995117858523816E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,3,"Query{rect=(545.8..575.8),(325.4..355.4), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,11791,11659,429,340,0,22279,0.433048293,"{null=Stats{count=89907, mean=499.79087327203405, populationStandardDeviation=289.23896781588655, min=0.0018579999450594187, max=999.9998168945312}}",4.493469804326876E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,4,"Query{rect=(541.3..571.3),(325.4..355.4), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,11803,11668,486,368,0,14830,0.298603034,"{null=Stats{count=90180, mean=498.6789684136459, populationStandardDeviation=289.36892971909776, min=0.0018579999450594187, max=999.9998168945312}}",4.497086937154259E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,5,"Query{rect=(546.1..576.1),(320.6..350.6), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12023,11833,450,385,0,19633,0.380878677,"{null=Stats{count=90166, mean=499.76172201821436, populationStandardDeviation=289.1163615337164, min=0.0018579999450594187, max=999.9998168945312}}",4.506151542749432E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,6,"Query{rect=(549.69995..579.69995),(320.6..350.6), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12131,11914,532,440,0,17288,0.330026349,"{null=Stats{count=90179, mean=499.8074010129461, populationStandardDeviation=288.7250840750764, min=0.018188999965786934, max=999.9998168945312}}",4.5072131615946464E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,7,"Query{rect=(553.2999..583.2999),(324.2..354.2), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12243,11998,544,459,0,17473,0.329836089,"{null=Stats{count=90023, mean=499.2568705115375, populationStandardDeviation=288.94522307240084, min=0.018188999965786934, max=999.9998168945312}}",4.494460125406014E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,8,"Query{rect=(548.49994..578.49994),(324.2..354.2), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12251,12004,621,503,0,13299,0.257506596,"{null=Stats{count=89933, mean=499.82865911221904, populationStandardDeviation=289.1088788989222, min=0.018188999965786934, max=999.9998168945312}}",4.495109079993919E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,9,"Query{rect=(548.49994..578.49994),(327.80002..357.80002), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12315,12052,584,481,0,12035,0.237014323,"{null=Stats{count=89691, mean=500.2050577552123, populationStandardDeviation=289.30997246291145, min=0.018188999965786934, max=999.9998168945312}}",4.486389183512275E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,10,"Query{rect=(548.49994..578.49994),(324.80002..354.80002), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12315,12052,628,508,0,6295,0.129970811,"{null=Stats{count=89977, mean=499.81930665553665, populationStandardDeviation=289.1115687077236, min=0.018188999965786934, max=999.9998168945312}}",4.497224175494522E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,11,"Query{rect=(544.89996..574.89996),(321.2..351.2), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12327,12061,620,503,0,13718,0.26696229,"{null=Stats{count=90153, mean=499.56038114586323, populationStandardDeviation=289.0344615328064, min=0.0018579999450594187, max=999.9998168945312}}",4.5036867041443005E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,12,"Query{rect=(548.49994..578.49994),(317.6..347.6), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12427,12136,587,497,0,13168,0.253380399,"{null=Stats{count=90339, mean=499.49877205569163, populationStandardDeviation=288.82324159326663, min=0.018188999965786934, max=999.9998168945312}}",4.512421956873912E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,13,"Query{rect=(544.89996..574.89996),(321.2..351.2), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12427,12136,655,535,0,10241,0.200127897,"{null=Stats{count=90153, mean=499.56038114586556, populationStandardDeviation=289.03446153280527, min=0.0018579999450594187, max=999.9998168945312}}",4.503686704144322E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,14,"Query{rect=(540.39996..570.39996),(316.7..346.7), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12467,12166,614,507,0,13916,0.265720994,"{null=Stats{count=90548, mean=499.58508314278333, populationStandardDeviation=289.24657375331554, min=0.0018579999450594187, max=999.9998168945312}}",4.523643010841274E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,15,"Query{rect=(536.8..566.8),(316.7..346.7), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12571,12244,584,497,0,12368,0.239642822,"{null=Stats{count=90342, mean=499.2732319926329, populationStandardDeviation=289.4600094438547, min=0.0018579999450594187, max=999.9998168945312}}",4.5105342324678436E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,16,"Query{rect=(533.5..563.5),(320.0..350.0), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12703,12343,584,508,0,22495,0.405941155,"{null=Stats{count=89975, mean=498.3020283101425, populationStandardDeviation=289.1809216843774, min=0.0018579999450594187, max=999.9998168945312}}",4.483472499720507E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,17,"Query{rect=(533.5..563.5),(315.2..345.2), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12767,12391,642,547,0,16527,0.307780324,"{null=Stats{count=90363, mean=498.07763542337375, populationStandardDeviation=289.3115195023829, min=0.0018579999450594187, max=999.9616088867188}}",4.5007789369762324E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,18,"Query{rect=(538.0..568.0),(315.2..345.2), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12823,12433,665,596,0,16344,0.304726256,"{null=Stats{count=90554, mean=499.3543742273919, populationStandardDeviation=289.3661742627129, min=0.0018579999450594187, max=999.9616088867188}}",4.521853600378724E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,19,"Query{rect=(538.0..568.0),(320.90002..350.90002), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12831,12439,740,657,0,12972,0.246603632,"{null=Stats{count=90068, mean=499.02156828638533, populationStandardDeviation=289.3226502602146, min=0.0018579999450594187, max=999.9998168945312}}",4.494587461241815E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,20,"Query{rect=(544.0..574.0),(326.90002..356.90002), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12835,12442,710,622,0,6809,0.135987798,"{null=Stats{count=89998, mean=499.7516902235633, populationStandardDeviation=289.4156035917343, min=0.0018579999450594187, max=999.9998168945312}}",4.497665261674025E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,21,"Query{rect=(544.0..574.0),(332.90002..362.90002), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,12923,12508,665,600,0,19274,0.352909016,"{null=Stats{count=89893, mean=500.55228425632583, populationStandardDeviation=289.1816646547894, min=0.0018579999450594187, max=999.9998168945312}}",4.49961464886539E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,22,"Query{rect=(544.0..574.0),(338.00003..368.00003), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,13015,12577,621,555,0,16735,0.31052302,"{null=Stats{count=89869, mean=500.2329682405855, populationStandardDeviation=288.89279809835614, min=0.0018579999450594187, max=999.9998168945312}}",4.495543662281317E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,23,"Query{rect=(538.9..568.9),(343.10004..373.10004), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,13147,12676,586,517,0,23543,0.422480377,"{null=Stats{count=90057, mean=499.80272351942256, populationStandardDeviation=288.98577422306494, min=0.0018579999450594187, max=999.9998168945312}}",4.501073387198864E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,24,"Query{rect=(538.9..568.9),(348.80005..378.80005), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,13267,12766,518,435,0,19175,0.353910672,"{null=Stats{count=90190, mean=500.0073113755109, populationStandardDeviation=288.56196972121546, min=0.017757000401616096, max=999.9912109375}}",4.5095659412957326E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,25,"Query{rect=(544.9..574.9),(354.80005..384.80005), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,13363,12838,467,388,0,20469,0.373629964,"{null=Stats{count=90437, mean=500.85200475547924, populationStandardDeviation=288.72902343297574, min=0.017757000401616096, max=999.9889526367188}}",4.529555275407127E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,26,"Query{rect=(544.9..574.9),(359.00006..389.00006), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,13671,13069,406,338,0,24528,0.440362661,"{null=Stats{count=90420, mean=501.0605454149945, populationStandardDeviation=288.6512016173379, min=0.017757000401616096, max=999.9889526367188}}",4.530589451642381E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,27,"Query{rect=(544.9..574.9),(355.70007..385.70007), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,13671,13069,646,518,0,12399,0.237620304,"{null=Stats{count=90566, mean=500.7102162677411, populationStandardDeviation=288.59013931196625, min=0.017757000401616096, max=999.9889526367188}}",4.534732144650424E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,28,"Query{rect=(540.10004..570.10004),(360.50006..390.50006), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,13903,13243,551,491,0,22907,0.415700049,"{null=Stats{count=90430, mean=500.7744024312448, populationStandardDeviation=288.3260057457271, min=0.005700999870896339, max=999.9889526367188}}",4.528502921185747E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,29,"Query{rect=(536.2..566.2),(360.50006..390.50006), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,14107,13396,639,574,0,25579,0.458726669,"{null=Stats{count=90492, mean=500.18066450479785, populationStandardDeviation=288.670096380341, min=0.005700999870896339, max=999.9889526367188}}",4.5262348692368165E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,30,"Query{rect=(540.4..570.4),(364.70007..394.70007), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,14215,13477,727,638,0,20490,0.379010796,"{null=Stats{count=90439, mean=500.83715575719145, populationStandardDeviation=288.51472232259124, min=0.005700999870896339, max=999.9889526367188}}",4.529521152952464E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,31,"Query{rect=(537.10004..567.10004),(364.70007..394.70007), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,14267,13516,772,678,0,13997,0.328304865,"{null=Stats{count=90476, mean=500.94599426811885, populationStandardDeviation=288.65090321563787, min=0.005700999870896339, max=999.9889526367188}}",4.532358977740232E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,32,"Query{rect=(537.10004..567.10004),(361.70007..391.70007), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,14275,13522,797,695,0,6848,0.136700572,"{null=Stats{count=90356, mean=500.6264990155008, populationStandardDeviation=288.57228303528143, min=0.005700999870896339, max=999.9889526367188}}",4.523460794504459E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,33,"Query{rect=(537.10004..567.10004),(365.00006..395.00006), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,14335,13567,781,703,0,13353,0.266242252,"{null=Stats{count=90466, mean=500.75436449817477, populationStandardDeviation=288.669421275773, min=0.005700999870896339, max=999.9889526367188}}",4.5301244338691875E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,34,"Query{rect=(531.10004..561.10004),(365.00006..395.00006), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,14479,13675,702,638,0,25353,0.471033739,"{null=Stats{count=90506, mean=500.67591717313195, populationStandardDeviation=288.5749030797899, min=0.005700999870896339, max=999.9992065429688}}",4.5314174559671484E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,35,"Query{rect=(534.4..564.4),(368.30005..398.30005), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,14591,13759,809,728,0,17007,0.333790536,"{null=Stats{count=90292, mean=500.88983649738657, populationStandardDeviation=288.47509559932445, min=0.005700999870896339, max=999.9992065429688}}",4.522634511702203E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,36,"Query{rect=(534.4..564.4),(372.80005..402.80005), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,14607,13771,760,676,0,21143,0.402776033,"{null=Stats{count=90090, mean=500.7730106019047, populationStandardDeviation=288.77576540164114, min=0.005700999870896339, max=999.9992065429688}}",4.511464052512559E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,37,"Query{rect=(534.4..564.4),(368.60004..398.60004), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,14607,13771,850,746,0,7124,0.14982728,"{null=Stats{count=90232, mean=500.92430646519836, populationStandardDeviation=288.39518944198335, min=0.005700999870896339, max=999.9992065429688}}",4.519940202096778E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,38,"Query{rect=(530.5..560.5),(372.50003..402.50003), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,14707,13846,704,629,0,22585,0.426729852,"{null=Stats{count=90127, mean=500.643743312552, populationStandardDeviation=288.6530421826432, min=0.005700999870896339, max=999.9992065429688}}",4.5121518653530374E7
