csv,errorBound,initMode,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles With Stats,Fully Contained Tiles Without Stats,Sampling Tiles,Sampling Rate,Expanded nodes,I/Os,Time (sec),Confidence Interval LB,Confidence Interval UB,Error Bound,run
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.02,valinor,0,"Query{rect=(544.0..574.0),(323.0..353.0), categoricalFilters=null, groupByCols=[], measureCol=9}",0.0,11263,11263,0,0,0,0,0.0,0,0,377.927964617,,,0.0,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.02,valinor,1,"Query{rect=(541.0..571.0),(326.0..356.0), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,11439,11395,240,196,0,116,0.01,0,232,0.07057739,4.521042996783051E7,4.609299052358347E7,0.009666237595512179,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.02,valinor,2,"Query{rect=(545.8..575.8),(330.8..360.8), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,11663,11563,292,184,50,219,0.01,0,438,0.27543648,4.447058379316523E7,4.538515058569475E7,0.010178168358998912,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.02,valinor,3,"Query{rect=(545.8..575.8),(325.4..355.4), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,11791,11659,429,157,183,333,0.01,0,570,0.092890668,4.34556338051072E7,4.475045374209983E7,0.01467948497658572,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.02,valinor,4,"Query{rect=(541.3..571.3),(325.4..355.4), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,11803,11668,486,157,211,333,0.01,0,416,0.035745346,4.365848887341995E7,4.489645692803805E7,0.013979660237087773,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.02,valinor,5,"Query{rect=(546.1..576.1),(320.6..350.6), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,12023,11833,450,135,250,421,0.01,0,514,0.037016535,4.3477327634514034E7,4.495236537443295E7,0.01668034446042551,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.02,valinor,6,"Query{rect=(549.69995..579.69995),(320.6..350.6), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,12131,11914,532,124,316,465,0.01,0,466,0.024542189,4.364694650046393E7,4.516348886811507E7,0.017076173102374918,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.02,valinor,7,"Query{rect=(553.2999..583.2999),(324.2..354.2), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,12243,11998,544,113,346,460,0.01,0,424,0.037381896,4.3582676601479575E7,4.521456119165547E7,0.018377650372161224,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.02,valinor,8,"Query{rect=(548.49994..578.49994),(324.2..354.2), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,12251,12004,621,112,391,513,0.01,0,392,0.022306783,4.280820037725332E7,4.446700223304773E7,0.019006565509807564,3
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0.02,valinor,9,"Query{rect=(548.49994..578.49994),(327.80002..357.80002), categoricalFilters={}, groupByCols=[], measureCol=9}",0.0,12315,12052,584,111,370,517,0.01,0,366,0.019017825,4.325567564388483E7,4.4914281561683215E7,0.01881146334154784,3
