csv,errorBound,initMode,initCatBudget (Gb),initCatBudget (nodes),binCount,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles,Expanded nodes,I/Os,Time (sec),Query Result,Query Result Sum
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,0,"Query{rect=(-73.998314..-73.975006),(40.71516..40.73264), categoricalFilters=null, groupByCols=null, measureCol=12}",0.0,8969,10000,0,0,0,0,286.363080101,{},
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,1,"Query{rect=(-74.00064..-73.97734),(40.716908..40.734386), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,9129,10120,120,80,0,1212498,10.672814935,"{null=Stats{count=16894723, mean=11.634396326604966, populationStandardDeviation=7.659441503461038, min=0.0, max=400.0}}",1.9655990321020842E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,2,"Query{rect=(-73.998314..-73.97501),(40.718655..40.736134), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,9565,10447,173,131,0,3421420,17.735015203,"{null=Stats{count=16203281, mean=11.48169819126463, populationStandardDeviation=7.589368650412074, min=0.0, max=400.0}}",1.8604118215025255E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,3,"Query{rect=(-73.998314..-73.97501),(40.716908..40.734386), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,10081,10834,355,262,0,1739150,11.49050112,"{null=Stats{count=14992032, mean=11.624850344517032, populationStandardDeviation=7.642300303327955, min=0.0, max=400.0}}",1.7428012836021036E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,4,"Query{rect=(-74.00064..-73.97734),(40.716908..40.734386), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,11185,11662,635,475,0,2838865,17.137891194,"{null=Stats{count=16894723, mean=11.63439632660663, populationStandardDeviation=7.659441503461291, min=0.0, max=400.0}}",1.9655990321023655E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,5,"Query{rect=(-73.998314..-73.97501),(40.71516..40.73264), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,11643,12007,723,659,0,680728,7.384551952,"{null=Stats{count=13449463, mean=11.756277336140743, populationStandardDeviation=7.670017069666606, min=0.0, max=400.0}}",1.5811561705016348E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,6,"Query{rect=(-73.99599..-73.97269),(40.71516..40.73264), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,12062,12322,945,866,0,787597,7.497234923,"{null=Stats{count=11810546, mean=11.767230993397082, populationStandardDeviation=7.712156238641712, min=0.0, max=400.0}}",1.3897742294014192E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,7,"Query{rect=(-73.99366..-73.97036),(40.716908..40.734386), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,12958,12994,1347,1175,0,2261990,13.942781104,"{null=Stats{count=11643406, mean=11.670009042899906, populationStandardDeviation=7.703591600959607, min=0.0, max=400.0}}",1.3587865331015503E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,8,"Query{rect=(-73.99599..-73.97269),(40.716908..40.734386), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,13958,13744,2158,1869,0,2420207,14.516852653,"{null=Stats{count=13356566, mean=11.634893265993133, populationStandardDeviation=7.682930601507624, min=0.0, max=400.0}}",1.5540221981019285E8
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,,0,,9,"Query{rect=(-73.99599..-73.97269),(40.718655..40.736134), categoricalFilters={}, groupByCols=null, measureCol=12}",0.0,14702,14302,2546,2414,0,1104407,9.9460227,"{null=Stats{count=14480704, mean=11.489091439907861, populationStandardDeviation=7.625931179860289, min=0.0, max=400.0}}",1.6637013237023953E8
