csv,errorBound,initMode,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles With Stats,Fully Contained Tiles Without Stats,Sampling Tiles,Sampling Rate,Expanded nodes,I/Os,Time (sec),Confidence Interval LB,Confidence Interval UB,Error Bound,run
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,0,"Query{rect=(-73.998314..-73.975006),(40.71516..40.73264), categoricalFilters=null, groupByCols=[], measureCol=12}",0.0,8969,10000,0,0,0,0,0.0,0,0,269.541104907,,,0.0,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,1,"Query{rect=(-74.00064..-73.97734),(40.716908..40.734386), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,9449,10360,120,0,320,418,0.01,0,169178,5.350421848,1.9634916579850924E8,1.9758210389390606E8,0.0031298304812397977,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,2,"Query{rect=(-73.998314..-73.97501),(40.718655..40.736134), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,10949,11485,378,0,1274,1438,0.01,0,162858,4.389987146,1.858669764879509E8,1.8706518835769394E8,0.0032129485807130217,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,3,"Query{rect=(-73.998314..-73.97501),(40.716908..40.734386), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,15796,15121,1355,0,4578,4875,0.01,0,153508,4.243657163,1.7396847614667276E8,1.7511543603567955E8,0.0032856280366413784,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,4,"Query{rect=(-74.00064..-73.97734),(40.716908..40.734386), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,29367,25300,4890,0,14567,15020,0.01,0,180920,4.813447978,1.9630450915742925E8,1.9749490668237665E8,0.0030228524397599614,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,5,"Query{rect=(-73.998314..-73.97501),(40.71516..40.73264), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,57381,46312,12963,0,33568,33963,0.01,0,163081,4.447676243,1.5790099432149372E8,1.5893391653838316E8,0.003260127534829204,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,6,"Query{rect=(-73.99599..-73.97269),(40.71516..40.73264), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,107196,83674,29554,0,66114,66772,0.01,0,179101,4.465242476,1.3863948920108202E8,1.395382233237147E8,0.0032307912610093424,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,7,"Query{rect=(-73.99366..-73.97036),(40.716908..40.734386), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,169716,130564,57672,0,103716,104463,0.01,0,225993,5.012974171,1.3517784568004856E8,1.3597878383661613E8,0.002953784157869353,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,8,"Query{rect=(-73.99599..-73.97269),(40.716908..40.734386), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,201850,154669,115053,0,138267,139029,0.01,0,285576,5.71893579,1.5481030199944395E8,1.556293555233695E8,0.002638366278526617,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,9,"Query{rect=(-73.99599..-73.97269),(40.718655..40.736134), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,213862,163681,133892,0,142276,142885,0.01,0,302707,5.377834491,1.660382705062904E8,1.6690037905860636E8,0.002589391629486703,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,10,"Query{rect=(-73.99599..-73.97269),(40.716908..40.734386), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,217608,166495,147602,0,149646,150399,0.01,0,301015,5.161524336,1.549810498913833E8,1.5577758497473514E8,0.002563195335489278,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,11,"Query{rect=(-73.998314..-73.97501),(40.71516..40.73264), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,225878,172702,135630,0,141372,141770,0.01,0,290153,5.096745075,1.57710889353983E8,1.585304344610758E8,0.0025915180761514776,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,12,"Query{rect=(-73.99599..-73.97269),(40.713413..40.730892), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,226680,173308,114872,0,114872,115459,0.01,0,233138,4.169949471,1.243048080707461E8,1.2502449604664627E8,0.0028864957468510023,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,13,"Query{rect=(-73.998314..-73.97501),(40.71516..40.73264), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,236190,180445,142251,0,148910,149335,0.01,0,300031,5.158182085,1.576188451196831E8,1.5842174773740476E8,0.0025405047195464093,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,14,"Query{rect=(-74.00064..-73.97734),(40.713413..40.730892), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,240598,183757,130386,0,133131,133571,0.01,0,283539,5.032905725,1.6129830593111014E8,1.621576554360975E8,0.0026567743607352197,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,15,"Query{rect=(-74.00297..-73.97967),(40.713413..40.730892), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,245820,187678,128789,0,132146,132682,0.01,0,291450,5.252566862,1.728030902324926E8,1.7371867098303053E8,0.0026422027503446633,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,16,"Query{rect=(-74.005295..-73.981995),(40.71516..40.73264), categoricalFilters={}, groupByCols=[], measureCol=12}",0.0,253722,193609,141666,0,146947,147565,0.01,0,334698,6.01676803,2.0390189792233625E8,2.0491876298755023E8,0.002487313295151976,2
